wl,k
551.04,0.00787
563.56,0.00743
576.67,0.00698
590.4,0.00676
604.8,0.00631
619.92,0.00609
635.82,0.00563
652.55,0.00541
670.19,0.00519
688.8,0.00496
708.48,0.00473
729.32,0.0045
751.42,0.00427
774.9,0.00404
799.9,0.00405
826.56,0.00381
855.06,0.00358
885.6,0.00335
918.4,0.00335
953.73,0.00312
991.87,0.00288
1033.2,0.00288
1078.12,0.00264
1127.13,0.00241
1180.8,0.00241
